name,max_completion_tokens,context_length,pricing_prompt,pricing_completion,p50_throughput,p50_latency
InferenceNet | deepseek/deepseek-r1-0528,32768.0,128000,0.0000005,0.00000215,51.2815,1069.5
DeepInfra | deepseek/deepseek-r1-0528,,163840,0.0000005,0.00000215,96.402,406
Crusoe | deepseek/deepseek-r1-0528,131072.0,131072,0.0000005,0.00000218,26.908,1405
Lambda | deepseek/deepseek-r1-0528,163840.0,163840,0.0000005,0.00000218,38.157,726
Novita | deepseek/deepseek-r1-0528,131072.0,131072,0.0000007,0.0000025,102.519,566
Parasail | deepseek/deepseek-r1-0528,163840.0,163840,0.00000079,0.000004,91.256,1044
GMICloud | deepseek/deepseek-r1-0528,,131072,0.0000008,0.0000023,64.7915,865.5
Nebius | deepseek/deepseek-r1-0528,,131072,0.0000008,0.0000024,40.7595,1064.5
Kluster | deepseek/deepseek-r1-0528,163840.0,163840,0.0000025,0.000005,52.321,989
BaseTen | deepseek/deepseek-r1-0528,131072.0,163840,0.00000255,0.00000595,130.603,332
Together | deepseek/deepseek-r1-0528,32768.0,163840,0.000003,0.000007,42.002,1748
Fireworks | deepseek/deepseek-r1-0528,,163840,0.000003,0.000008,102.529,594
SambaNova | deepseek/deepseek-r1-0528,7168.0,32768,0.000005,0.000007,N/A,N/A
DeepSeek | deepseek/deepseek-r1-0528,8000.0,64000,0.00000055,0.00000219,25.137,3275
