name,max_completion_tokens,context_length,pricing_prompt,pricing_completion,p50_throughput,p50_latency
InferenceNet | deepseek/deepseek-r1,32768.0,128000,0.00000045,0.00000215,59.476,905.5
DeepInfra | deepseek/deepseek-r1,163840.0,163840,0.00000045,0.00000215,90.841,567
Lambda | deepseek/deepseek-r1,163840.0,163840,0.00000054,0.00000218,37.7725,574
Novita | deepseek/deepseek-r1,16000.0,64000,0.0000007,0.0000025,30.64,949.5
Nebius | deepseek/deepseek-r1,,163840,0.0000008,0.0000024,34.438,683
DeepInfra | deepseek/deepseek-r1,,32768,0.000001,0.000003,148.179,557
Nebius | deepseek/deepseek-r1,,163840,0.000002,0.000006,67.882,748
Friendli | deepseek/deepseek-r1,163840.0,163840,0.000003,0.000007,82.4175,303
Fireworks | deepseek/deepseek-r1,,163840,0.000003,0.000008,101.624,353
Minimax | deepseek/deepseek-r1,64000.0,64000,0.00000055,0.00000219,N/A,N/A
Azure | deepseek/deepseek-r1,4096.0,163840,0.000001485,0.00000594,60.179,1875.5
