name,max_completion_tokens,context_length,pricing_prompt,pricing_completion,p50_throughput,p50_latency
DeepInfra | qwen/qwen3-32b-04-28,,40960,0.0000001,0.0000003,56.57,586.0
Nebius | qwen/qwen3-32b-04-28,,40960,0.0000001,0.0000003,47.1285,379.0
Lambda | qwen/qwen3-32b-04-28,40960.0,40960,0.0000001,0.0000003,43.1305,435.5
Novita | qwen/qwen3-32b-04-28,20000.0,40960,0.0000001,0.00000045,46.418,727.0
Parasail | qwen/qwen3-32b-04-28,40960.0,40960,0.0000001,0.0000005,53.811,478.0
GMICloud | qwen/qwen3-32b-04-28,,32768,0.0000001,0.0000006,56.507,795.0
Nebius | qwen/qwen3-32b-04-28,,40960,0.0000002,0.0000006,153.409,265.5
Groq | qwen/qwen3-32b-04-28,40960.0,131072,0.00000029,0.00000059,701.766,294.0
Cerebras | qwen/qwen3-32b-04-28,,32768,0.0000004,0.0000008,722.322,502.5
SambaNova | qwen/qwen3-32b-04-28,4096.0,32768,0.0000004,0.0000008,355.5855,733.0
